Country,Happiness_Rank,Year,Happiness_Score,Type,Value
Finland,1,2021,7.842,GDP per capita,1.446
Denmark,2,2021,7.62,GDP per capita,1.502
Switzerland,3,2021,7.571,GDP per capita,1.566
Iceland,4,2021,7.554,GDP per capita,1.482
Netherlands,5,2021,7.464,GDP per capita,1.501
Norway,6,2021,7.392,GDP per capita,1.543
Sweden,7,2021,7.363,GDP per capita,1.478
Luxembourg,8,2021,7.324,GDP per capita,1.751
New Zealand,9,2021,7.277,GDP per capita,1.4
Austria,10,2021,7.268,GDP per capita,1.492
Australia,11,2021,7.183,GDP per capita,1.453
Israel,12,2021,7.157,GDP per capita,1.376
Germany,13,2021,7.155,GDP per capita,1.48
Canada,14,2021,7.103,GDP per capita,1.447
Ireland,15,2021,7.085,GDP per capita,1.644
Costa Rica,16,2021,7.069,GDP per capita,1.134
United Kingdom,17,2021,7.064,GDP per capita,1.423
Czech Republic,18,2021,6.965,GDP per capita,1.37
United States,19,2021,6.951,GDP per capita,1.533
Belgium,20,2021,6.834,GDP per capita,1.463
France,21,2021,6.69,GDP per capita,1.421
Bahrain,22,2021,6.647,GDP per capita,1.409
Malta,23,2021,6.602,GDP per capita,1.411
Taiwan Province of China,24,2021,6.584,GDP per capita,1.48
United Arab Emirates,25,2021,6.561,GDP per capita,1.555
Saudi Arabia,26,2021,6.494,GDP per capita,1.435
Spain,27,2021,6.491,GDP per capita,1.375
Italy,28,2021,6.483,GDP per capita,1.393
Slovenia,29,2021,6.461,GDP per capita,1.36
Guatemala,30,2021,6.435,GDP per capita,0.845
Uruguay,31,2021,6.431,GDP per capita,1.164
Singapore,32,2021,6.377,GDP per capita,1.695
Kosovo,33,2021,6.372,GDP per capita,0.937
Slovakia,34,2021,6.331,GDP per capita,1.304
Brazil,35,2021,6.33,GDP per capita,1.028
Mexico,36,2021,6.317,GDP per capita,1.126
Jamaica,37,2021,6.309,GDP per capita,0.891
Lithuania,38,2021,6.255,GDP per capita,1.35
Cyprus,39,2021,6.223,GDP per capita,1.377
Estonia,40,2021,6.189,GDP per capita,1.344
Panama,41,2021,6.18,GDP per capita,1.298
Uzbekistan,42,2021,6.179,GDP per capita,0.769
Chile,43,2021,6.172,GDP per capita,1.2
Poland,44,2021,6.166,GDP per capita,1.309
Kazakhstan,45,2021,6.152,GDP per capita,1.23
Romania,46,2021,6.14,GDP per capita,1.275
Kuwait,47,2021,6.106,GDP per capita,1.461
Serbia,48,2021,6.078,GDP per capita,1.101
El Salvador,49,2021,6.061,GDP per capita,0.845
Mauritius,50,2021,6.049,GDP per capita,1.178
Latvia,51,2021,6.032,GDP per capita,1.285
Colombia,52,2021,6.012,GDP per capita,1.021
Hungary,53,2021,5.992,GDP per capita,1.301
Thailand,54,2021,5.985,GDP per capita,1.107
Nicaragua,55,2021,5.972,GDP per capita,0.693
Japan,56,2021,5.94,GDP per capita,1.389
Argentina,57,2021,5.929,GDP per capita,1.162
Portugal,58,2021,5.929,GDP per capita,1.323
Honduras,59,2021,5.919,GDP per capita,0.703
Croatia,60,2021,5.882,GDP per capita,1.251
Philippines,61,2021,5.88,GDP per capita,0.853
South Korea,62,2021,5.845,GDP per capita,1.403
Peru,63,2021,5.84,GDP per capita,0.986
Bosnia and Herzegovina,64,2021,5.813,GDP per capita,1.032
Moldova,65,2021,5.766,GDP per capita,0.985
Ecuador,66,2021,5.764,GDP per capita,0.935
Kyrgyzstan,67,2021,5.744,GDP per capita,0.665
Greece,68,2021,5.723,GDP per capita,1.273
Bolivia,69,2021,5.716,GDP per capita,0.842
Mongolia,70,2021,5.677,GDP per capita,0.966
Paraguay,71,2021,5.653,GDP per capita,0.983
Montenegro,72,2021,5.581,GDP per capita,1.155
Dominican Republic,73,2021,5.545,GDP per capita,1.106
North Cyprus,74,2021,5.536,GDP per capita,1.377
Belarus,75,2021,5.534,GDP per capita,1.124
Russia,76,2021,5.477,GDP per capita,1.241
Hong Kong S.A.R. of China,77,2021,5.477,GDP per capita,1.525
Tajikistan,78,2021,5.466,GDP per capita,0.508
Vietnam,79,2021,5.411,GDP per capita,0.817
Libya,80,2021,5.41,GDP per capita,1.044
Malaysia,81,2021,5.384,GDP per capita,1.259
Indonesia,82,2021,5.345,GDP per capita,0.954
Congo (Brazzaville),83,2021,5.342,GDP per capita,0.518
China,84,2021,5.339,GDP per capita,1.061
Ivory Coast,85,2021,5.306,GDP per capita,0.669
Armenia,86,2021,5.283,GDP per capita,0.996
Nepal,87,2021,5.269,GDP per capita,0.519
Bulgaria,88,2021,5.266,GDP per capita,1.181
Maldives,89,2021,5.198,GDP per capita,1.115
Azerbaijan,90,2021,5.171,GDP per capita,1.025
Cameroon,91,2021,5.142,GDP per capita,0.543
Senegal,92,2021,5.132,GDP per capita,0.518
Albania,93,2021,5.117,GDP per capita,1.008
North Macedonia,94,2021,5.101,GDP per capita,1.068
Ghana,95,2021,5.088,GDP per capita,0.68
Niger,96,2021,5.074,GDP per capita,0.162
Turkmenistan,97,2021,5.066,GDP per capita,1.046
Gambia,98,2021,5.051,GDP per capita,0.367
Benin,99,2021,5.045,GDP per capita,0.507
Laos,100,2021,5.03,GDP per capita,0.808
Bangladesh,101,2021,5.025,GDP per capita,0.635
Guinea,102,2021,4.984,GDP per capita,0.42
South Africa,103,2021,4.956,GDP per capita,0.967
Turkey,104,2021,4.948,GDP per capita,1.26
Pakistan,105,2021,4.934,GDP per capita,0.637
Morocco,106,2021,4.918,GDP per capita,0.792
Venezuela,107,2021,4.892,GDP per capita,0.852
Georgia,108,2021,4.891,GDP per capita,1.03
Algeria,109,2021,4.887,GDP per capita,0.946
Ukraine,110,2021,4.875,GDP per capita,0.979
Iraq,111,2021,4.854,GDP per capita,0.91
