,Country,Happiness Score,GDP per capita,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
0,Finland,7.842,1.446,0.741,0.691,0.124,0.481,2021
1,Denmark,7.62,1.502,0.763,0.686,0.208,0.485,2021
2,Switzerland,7.571,1.566,0.816,0.653,0.204,0.413,2021
3,Iceland,7.554,1.482,0.772,0.698,0.293,0.17,2021
4,Netherlands,7.464,1.501,0.753,0.647,0.302,0.384,2021
5,Norway,7.392,1.543,0.782,0.703,0.249,0.427,2021
6,Sweden,7.363,1.478,0.763,0.685,0.244,0.448,2021
7,Luxembourg,7.324,1.751,0.76,0.639,0.166,0.353,2021
8,New Zealand,7.277,1.4,0.785,0.665,0.276,0.445,2021
9,Austria,7.268,1.492,0.782,0.64,0.215,0.292,2021
10,Australia,7.183,1.453,0.801,0.647,0.291,0.317,2021
11,Israel,7.157,1.376,0.788,0.509,0.208,0.119,2021
12,Germany,7.155,1.48,0.757,0.6,0.195,0.306,2021
13,Canada,7.103,1.447,0.798,0.648,0.246,0.335,2021
14,Ireland,7.085,1.644,0.753,0.606,0.238,0.367,2021
15,Costa Rica,7.069,1.134,0.722,0.673,0.105,0.083,2021
16,United Kingdom,7.064,1.423,0.757,0.58,0.34,0.306,2021
17,Czech Republic,6.965,1.37,0.703,0.58,0.052,0.046,2021
18,United States,6.951,1.533,0.621,0.554,0.252,0.154,2021
19,Belgium,6.834,1.463,0.747,0.489,0.088,0.187,2021
20,France,6.69,1.421,0.804,0.536,0.092,0.235,2021
21,Bahrain,6.647,1.409,0.662,0.661,0.246,0.139,2021
22,Malta,6.602,1.411,0.747,0.664,0.275,0.183,2021
23,Taiwan Province of China,6.584,1.48,0.665,0.49,0.142,0.139,2021
24,United Arab Emirates,6.561,1.555,0.594,0.67,0.236,0.223,2021
25,Saudi Arabia,6.494,1.435,0.571,0.603,0.09,0.163,2021
26,Spain,6.491,1.375,0.826,0.462,0.135,0.124,2021
27,Italy,6.483,1.393,0.798,0.379,0.133,0.047,2021
28,Slovenia,6.461,1.36,0.722,0.69,0.122,0.085,2021
29,Guatemala,6.435,0.845,0.519,0.638,0.163,0.105,2021
30,Uruguay,6.431,1.164,0.649,0.625,0.128,0.223,2021
31,Singapore,6.377,1.695,0.897,0.664,0.176,0.547,2021
32,Kosovo,6.372,0.937,0.483,0.593,0.356,0.014,2021
33,Slovakia,6.331,1.304,0.653,0.468,0.107,0.018,2021
34,Brazil,6.33,1.028,0.571,0.514,0.142,0.117,2021
35,Mexico,6.317,1.126,0.634,0.585,0.092,0.089,2021
36,Jamaica,6.309,0.891,0.599,0.618,0.099,0.035,2021
37,Lithuania,6.255,1.35,0.612,0.476,0.056,0.073,2021
38,Cyprus,6.223,1.377,0.801,0.464,0.178,0.061,2021
